Model,Family,Platform,Launch_Date,CPU_Core,Threads,Base_Clock_GHz,Boost_Clock_GHz,L1_Cache,L2_Cache,L3_Cache,Unlocked_for_Overclocking,Chip_lithography,CPU_Socket,PCI_Express_Version,Default_TDP,Max._Operating_Temperature_(Tjmax),System_Memory_Type,Graphics_Model
Athlon-3000G,AMD Athlon Processors,Boxed Processor,,2.0,4.0,3.5GHz,,192KB,1MB,4MB,Yes,14nm,AM4,PCIe® 3.0,35W,95°C,,Radeon Vega 3 Graphics
6278,AMD Opteron,Server,,16.0,16.0,2.4GHz,Up to 3.3GHz,768KB,16MB,16MB,No,32nm,G34,,115W,69°C,DDR3,nan
FX-7500,AMD FX-Series Processors,Laptop,,4.0,4.0,2.1GHz,Up to 3.3GHz,,4MB,,No,28nm,FP3,,20W,,DDR3,AMD Radeon R7 Graphics
Athlon-240GE,AMD Athlon Processors,Desktop,,2.0,4.0,3.5GHz,,192KB,1MB,4MB,No,14nm,AM4,PCIe® 3.0,35W,95°C,,Radeon Vega 3 Graphics
6276,AMD Opteron,Server,,16.0,16.0,2.3GHz,Up to 3.2GHz,768KB,16MB,16MB,No,32nm,G34,,115W,69°C,DDR3,nan
Athlon-220GE,AMD Athlon Processors,Boxed Processor,,2.0,4.0,3.4GHz,,192KB,1MB,4MB,No,14nm,AM4,PCIe® 3.0,35W,95°C,,Radeon Vega 3 Graphics
FX-8800P,AMD FX-Series Processors,All-in-One,,4.0,4.0,2.1GHz,Up to 3.4GHz,,2MB,,No,28nm,FP4,,,90°C,DDR3,AMD Radeon R7 Graphics
Athlon-200GE,AMD Athlon Processors,Boxed Processor,,2.0,4.0,3.2GHz,,192KB,1MB,4MB,No,14nm,AM4,PCIe® 3.0,35W,95°C,,Radeon Vega 3 Graphics
6274,AMD Opteron,Server,,16.0,16.0,2.2GHz,Up to 3.1GHz,768KB,16MB,16MB,No,32nm,G34,,115W,69°C,DDR3,nan
Athlon-5370,AMD Athlon Processors,Desktop,,4.0,4.0,2.2GHz,,256KB,2MB,,No,28nm,AM1,,25W,76°C,DDR3,AMD Radeon R3 Graphics
6272,AMD Opteron,Server,,16.0,16.0,2.1GHz,Up to 3.0GHz,768KB,16MB,16MB,No,32nm,G34,,115W,69°C,DDR3,nan
Athlon-5350,AMD Athlon Processors,Boxed Processor,,4.0,4.0,2.05GHz,,256KB,2MB,,No,28nm,AM1,,25W,76°C,DDR3,AMD Radeon R3 Graphics
Athlon-5150,AMD Athlon Processors,Boxed Processor,,4.0,4.0,1.6GHz,,256KB,2MB,,No,28nm,AM1,,25W,76°C,DDR3,AMD Radeon R3 Graphics
Athlon-PRO-200U-Mobile,AMD Athlon PRO Processors,Laptop,,2.0,4.0,2.3GHz,Up to 3.2GHz,192KB,1MB,4MB,No,14nm,FP5,PCIe® 3.0,15W,105°C,,Radeon Vega 3 Graphics
6262-HE,AMD Opteron,Server,,16.0,16.0,1.6GHz,Up to 2.9GHz,768KB,16MB,16MB,No,32nm,G34,,85W,65°C,DDR3,nan
Athlon-PRO-200GE,AMD Athlon PRO Processors,Desktop,,2.0,4.0,3.2GHz,,192KB,1MB,4MB,No,14nm,AM4,PCIe® 3.0,35W,95°C,,Radeon Vega 3 Graphics
Sempron-3850,AMD Sempron,Boxed Processor,,4.0,4.0,1.3GHz,,256KB,2MB,,No,28nm,AM1,,25W,90°C,DDR3,AMD Radeon R3 Graphics
6238,AMD Opteron,Server,,12.0,12.0,2.6GHz,Up to 3.2GHz,576KB,12MB,16MB,No,32nm,G34,,115W,70.40°C,DDR3,nan
6234,AMD Opteron,Server,,12.0,12.0,2.4GHz,Up to 3.0GHz,576KB,12MB,16MB,No,32nm,G34,,115W,70.40°C,DDR3,nan
Sempron-2650,AMD Sempron,Boxed Processor,,2.0,2.0,1.45GHz,,128KB,1MB,,No,28nm,AM1,,25W,90°C,DDR3,AMD Radeon R3 Graphics
E2-7110,AMD E-Series Processors,Laptop,,4.0,4.0,1.8GHz,Up to 1.8GHz,,2MB,,No,28nm,FT3b,,65W,90°C,DDR3L,AMD Radeon R2 Graphics
E2-7110,AMD E-Series Processors,Laptop,,4.0,4.0,1.8GHz,Up to 1.8GHz,,2MB,,No,28nm,FP4,,65W,90°C,DDR3L,AMD Radeon R2 Graphics
6220,AMD Opteron,Server,,8.0,8.0,3.0GHz,Up to 3.6GHz,384KB,8MB,16MB,No,32nm,G34,,115W,71.70°C,DDR3,nan
E2-6110,AMD E-Series Processors,Laptop,,4.0,4.0,1.5GHz,,,2MB,,No,28nm,FT3b,,15W,,DDR3,AMD Radeon R2 Graphics
6212,AMD Opteron,Server,,8.0,8.0,2.6GHz,Up to 3.2GHz,384KB,8MB,16MB,No,32nm,G34,,115W,71.70°C,DDR3,nan
6204,AMD Opteron,Server,,4.0,4.0,3.3GHz,,512KB,4MB,16MB,No,32nm,G34,,115W,74.40°C,DDR3,nan
E2-3800,AMD E-Series Processors,Laptop,,4.0,4.0,1.3GHz,,128KB,2MB,,No,28nm,FT3,,15W,90°C,DDR3,AMD Radeon HD 8280
E2-3000,AMD E-Series Processors,Laptop,,2.0,2.0,1.65GHz,,,1MB,,No,28nm,FT3,,15W,,Not Listed,AMD Radeon HD 8280
6180-SE,AMD Opteron,Server,,12.0,12.0,2.5GHz,,1536KB,6MB,12MB,No,,G34,,140W,64°C,DDR3,nan
6176,AMD Opteron,Server,,12.0,12.0,2.3GHz,,1536KB,6MB,12MB,No,,G34,,115W,69°C,DDR3,nan
6166-HE,AMD Opteron,Server,,12.0,12.0,1.8GHz,,1536KB,6MB,12MB,No,,G34,,85W,69°C,DDR3,nan
6140,AMD Opteron,Server,,8.0,8.0,2.6GHz,,1024KB,4MB,12MB,No,,G34,,115W,69°C,DDR3,nan
6132-HE,AMD Opteron,Server,,8.0,8.0,2.2GHz,,1024KB,4MB,12MB,No,,G34,,85W,66°C,DDR3,nan
E2-7110,AMD E-Series Processors,All-in-One,,4.0,4.0,1.8GHz,Up to 1.8GHz,,2MB,,No,28nm,FP4,,65W,90°C,DDR3L,AMD Radeon R2 Graphics
4386,AMD Opteron,Server,,8.0,8.0,3.1GHz,Up to 3.8GHz,384KB,8MB,8MB,No,32nm,C32,,95W,70.50°C,DDR3,nan
4376-HE,AMD Opteron,Server,,8.0,8.0,2.6GHz,Up to 3.6GHz,384KB,8MB,8MB,No,32nm,C32,,65W,68°C,DDR3,nan
4365,AMD Opteron,Server,,8.0,8.0,2.0GHz,Up to 2.8GHz,384KB,8MB,8MB,No,32nm,C32,,40W,70°C,DDR3,nan
4340,AMD Opteron,Server,,6.0,6.0,3.5GHz,Up to 3.8GHz,288KB,6MB,8MB,No,32nm,C32,,95W,67.70°C,DDR3,nan
4334,AMD Opteron,Server,,6.0,6.0,3.1GHz,Up to 3.5GHz,288KB,6MB,8MB,No,32nm,C32,,95W,67.70°C,DDR3,nan
E1-7010,AMD E-Series Processors,Laptop,,2.0,2.0,1.5GHz,Up to 1.5GHz,,1MB,,No,28nm,FP4,,10W,90°C,DDR3L,AMD Radeon R2 Graphics
4332-HE,AMD Opteron,Server,,6.0,6.0,3.0GHz,Up to 3.7GHz,288KB,6MB,8MB,No,32nm,C32,,65W,68°C,DDR3,nan
4310-EE,AMD Opteron,Server,,6.0,6.0,2.2GHz,Up to 3.0GHz,192KB,4MB,8MB,No,32nm,C32,,35W,85°C,DDR3,nan
E1-Micro-6200T,AMD E-Series Processors,"Laptop, Tablet",,2.0,2.0,1.4GHz,,,1MB,,No,28nm,FT3b,,3.95W,,Not Listed,AMD Radeon R2 Graphics
4284,AMD Opteron,Server,,8.0,8.0,3.0GHz,Up to 3.7GHz,384KB,8MB,8MB,No,32nm,C32,,95W,70.50°C,DDR3,nan
